,CM_BombPiece,CM_CrossPiece,CM_HorizontalPiece,CM_RainbowPiece,CM_RocketPiece,CM_VerticalPiece,L_BombPiece,L_CrossPiece,L_HorizontalPiece,L_RainbowPiece,L_RocketPiece,L_VerticalPiece,User,Method,L_Step,L_DecisionTime,PCGTime,Time,EVT_MatchNoHint,EVT_MatchIgnoringHint
85,1,0,1,0,1,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,26,18.7739868,144,2023-08-04 04:31:07.010,False,False
86,1,0,1,0,1,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,27,11.4855957,142,2023-08-04 04:31:19.542,False,False
87,1,0,1,0,1,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,28,15.9257813,396,2023-08-04 04:31:36.710,False,False
88,1,0,1,0,1,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,29,6.39361572,133,2023-08-04 04:31:45.609,False,False
89,1,0,1,0,1,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,30,7.969574,644,2023-08-04 04:31:55.151,False,False
90,1,0,1,0,1,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,31,12.1809082,135,2023-08-04 04:32:08.314,False,False
91,1,0,1,0,1,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,32,4.17138672,143,2023-08-04 04:32:16.024,False,False
92,2,0,1,0,1,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,33,15.5789185,1177,2023-08-04 04:32:33.738,False,False
93,2,0,1,0,1,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,34,9.337616,515,2023-08-04 04:32:44.420,False,False
94,2,0,1,0,1,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,35,9.841522,651,2023-08-04 04:32:55.805,False,False
95,2,0,1,0,2,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,36,11.508606,140,2023-08-04 04:33:08.399,False,False
96,2,0,1,0,2,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,37,6.897003,161,2023-08-04 04:33:18.931,False,False
97,2,0,1,0,2,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,38,20.01361,558,2023-08-04 04:33:40.351,False,False
98,3,0,1,0,2,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,39,7.094116,1437,2023-08-04 04:33:49.769,False,False
99,3,0,1,0,2,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,40,6.02197266,570,2023-08-04 04:33:59.825,False,False
