,User,Method,L_Step,L_DecisionTime,L_BombPiece,L_CrossPiece,L_HorizontalPiece,L_RainbowPiece,L_RocketPiece,L_VerticalPiece
157,211700f2,MCTS_Knowledge,38,26.7155762,False,False,False,False,False,False
158,211700f2,MCTS_Knowledge,39,17.2745972,False,False,False,False,False,False
159,211700f2,MCTS_Knowledge,40,15.668335,False,False,False,False,False,False
160,211700f2,MCTS_Knowledge,41,12.5400391,False,False,False,False,False,False
161,211700f2,MCTS_Knowledge,42,10.5759277,False,False,False,False,False,False
162,211700f2,MCTS_Knowledge,43,19.2125244,False,False,False,False,False,False
163,211700f2,MCTS_Knowledge,44,12.8465576,False,False,False,False,False,False
164,211700f2,MCTS_Knowledge,45,19.1425781,False,False,False,False,False,False
165,211700f2,MCTS_Knowledge,46,16.27649,False,False,False,False,False,False
166,211700f2,MCTS_Knowledge,47,19.8297119,False,False,False,False,False,False
167,211700f2,MCTS_Knowledge,48,20.5994873,False,False,False,False,False,False
168,211700f2,MCTS_Knowledge,49,26.2215576,False,False,False,False,False,False
169,211700f2,MCTS_Knowledge,50,27.2545166,False,False,False,False,False,False
170,211700f2,MCTS_Knowledge,51,29.41211,False,False,False,False,False,False
171,211700f2,MCTS_Knowledge,52,22.7325439,False,False,False,False,False,False
172,211700f2,MCTS_Knowledge,53,22.8858643,False,False,False,False,False,False
173,211700f2,MCTS_Knowledge,54,10.6258545,False,False,False,False,False,False
174,211700f2,MCTS_Knowledge,55,16.3043213,False,False,False,False,False,False
175,211700f2,MCTS_Knowledge,56,11.3652344,False,False,False,False,False,False
176,211700f2,MCTS_Knowledge,57,10.6566162,False,False,False,False,False,False
177,211700f2,MCTS_Knowledge,58,18.9561768,False,False,False,False,False,False
178,211700f2,MCTS_Knowledge,59,15.3546143,False,False,False,False,False,False
179,211700f2,MCTS_Knowledge,60,9.817749,False,False,False,False,False,False
180,2602d813,MCTS_Knowledge,1,2.94270039,False,False,False,False,False,False
181,2602d813,MCTS_Knowledge,2,4.775899,False,False,False,False,False,False
182,2602d813,MCTS_Knowledge,3,3.142599,False,False,False,False,False,False
183,2602d813,MCTS_Knowledge,4,4.726902,False,False,False,False,False,False
184,2602d813,MCTS_Knowledge,5,6.5238,False,False,False,False,False,False
185,2602d813,MCTS_Knowledge,6,42.3675,False,False,False,False,False,False
186,2602d813,MCTS_Knowledge,7,3.39859772,False,False,False,False,False,False
187,2602d813,MCTS_Knowledge,8,0.310798645,False,False,False,False,False,False
188,2602d813,MCTS_Knowledge,9,13.010498,False,False,False,False,True,False
189,2602d813,MCTS_Knowledge,10,42.9210052,False,False,False,False,True,False
190,2602d813,MCTS_Knowledge,11,4.10580444,False,False,False,False,True,False
191,2602d813,MCTS_Knowledge,12,6.232498,False,False,False,False,True,False
192,2602d813,MCTS_Knowledge,13,3.08569336,False,False,False,False,True,False
193,2602d813,MCTS_Knowledge,14,3.004303,False,False,True,False,True,False
194,2602d813,MCTS_Knowledge,15,9.815598,False,False,True,False,True,False
195,2602d813,MCTS_Knowledge,16,5.354889,False,False,True,False,True,False
196,2602d813,MCTS_Knowledge,17,22.0411072,False,False,True,False,True,False
197,2602d813,MCTS_Knowledge,18,11.2211,False,False,True,False,True,False
198,2602d813,MCTS_Knowledge,19,14.6141052,False,False,True,False,True,False
199,2602d813,MCTS_Knowledge,20,10.0812073,False,False,True,False,True,False
200,2602d813,MCTS_Knowledge,21,3.88479614,False,False,True,False,True,False
201,2602d813,MCTS_Knowledge,22,3.93530273,False,False,True,False,True,False
202,2602d813,MCTS_Knowledge,23,4.88687134,False,False,True,False,True,False
203,2602d813,MCTS_Knowledge,24,13.4215088,False,False,True,False,True,False
204,2602d813,MCTS_Knowledge,25,18.4612122,False,False,True,False,True,False
205,2602d813,MCTS_Knowledge,26,4.11889648,False,False,True,False,True,True
206,2602d813,MCTS_Knowledge,27,2.90841675,False,False,True,False,True,True
207,2602d813,MCTS_Knowledge,28,3.934784,False,False,True,False,True,True
208,2602d813,MCTS_Knowledge,29,2.00390625,False,False,True,False,True,True
209,2602d813,MCTS_Knowledge,30,2.969513,False,False,True,False,True,True
210,2602d813,MCTS_Knowledge,31,1.79098511,False,False,True,False,True,True
211,2602d813,MCTS_Knowledge,32,3.75021362,False,False,True,False,True,True
212,2602d813,MCTS_Knowledge,33,6.253601,False,False,True,False,True,True
213,2602d813,MCTS_Knowledge,34,11.1174011,False,False,True,False,True,True
214,2602d813,MCTS_Knowledge,35,4.48901367,False,False,True,False,True,True
215,2602d813,MCTS_Knowledge,36,4.02090454,False,False,True,False,True,True
216,2602d813,MCTS_Knowledge,37,3.10549927,False,False,True,False,True,True
217,2602d813,MCTS_Knowledge,38,4.60849,False,False,True,False,True,True
218,2602d813,MCTS_Knowledge,39,3.76678467,False,False,True,False,True,True
219,2602d813,MCTS_Knowledge,40,17.734314,False,False,True,False,True,True
220,2602d813,MCTS_Knowledge,41,18.0334167,False,False,True,False,True,True
221,2602d813,MCTS_Knowledge,42,7.53900146,False,False,True,False,True,True
222,2602d813,MCTS_Knowledge,43,43.5957031,False,False,True,False,True,True
223,2602d813,MCTS_Knowledge,44,3.2454834,False,False,True,False,True,True
224,2602d813,MCTS_Knowledge,45,26.1027222,False,False,True,False,True,True
225,2602d813,MCTS_Knowledge,46,12.1970215,False,False,True,False,True,True
226,2602d813,MCTS_Knowledge,47,8.380432,False,False,True,False,True,True
227,2602d813,MCTS_Knowledge,48,0.285644531,False,False,True,False,True,True
228,2602d813,MCTS_Knowledge,49,3.345337,False,False,True,False,True,True
229,2602d813,MCTS_Knowledge,50,3.62988281,False,False,True,False,True,True
230,2602d813,MCTS_Knowledge,51,8.514221,False,False,True,False,True,True
231,2602d813,MCTS_Knowledge,52,11.58429,False,False,True,False,True,True
232,2602d813,MCTS_Knowledge,53,0.2555542,False,False,True,False,True,True
233,2602d813,MCTS_Knowledge,54,0.27130127,False,False,True,False,True,True
234,2602d813,MCTS_Knowledge,55,5.555298,False,False,True,False,True,True
235,2602d813,MCTS_Knowledge,56,2.45898438,False,False,True,False,True,True
236,2602d813,MCTS_Knowledge,57,3.6151123,False,False,True,False,True,True
237,2602d813,MCTS_Knowledge,58,0.276794434,False,False,True,False,True,True
238,2602d813,MCTS_Knowledge,59,4.6293335,False,False,True,True,True,True
239,2602d813,MCTS_Knowledge,60,6.833435,False,False,True,True,True,True
240,2b767f12,MCTS_Knowledge,1,5.946599,False,False,False,False,False,False
241,2b767f12,MCTS_Knowledge,2,27.7589016,False,False,False,False,True,False
242,2b767f12,MCTS_Knowledge,3,4.07249832,False,False,False,False,True,False
243,2b767f12,MCTS_Knowledge,4,13.4049,False,False,True,False,True,False
244,2b767f12,MCTS_Knowledge,5,24.9555054,False,False,True,False,True,False
245,2b767f12,MCTS_Knowledge,6,92.7245,False,False,True,False,True,False
246,2b767f12,MCTS_Knowledge,7,10.7427979,False,False,True,False,True,False
247,2b767f12,MCTS_Knowledge,8,2.60540771,False,False,True,False,True,False
248,2b767f12,MCTS_Knowledge,9,18.928894,False,False,True,False,True,False
249,2b767f12,MCTS_Knowledge,10,12.0592957,False,False,True,False,True,False
250,2b767f12,MCTS_Knowledge,11,11.5844879,False,False,True,False,True,False
251,2b767f12,MCTS_Knowledge,12,53.1218872,False,False,True,False,True,False
252,2b767f12,MCTS_Knowledge,13,4.02560425,False,False,True,False,True,False
253,2b767f12,MCTS_Knowledge,14,9.288788,False,False,True,False,True,False
254,2b767f12,MCTS_Knowledge,15,9.5269165,False,False,True,False,True,False
255,2b767f12,MCTS_Knowledge,16,44.61148,False,False,True,False,True,False
256,2b767f12,MCTS_Knowledge,17,2.87307739,False,False,True,False,True,False
257,2b767f12,MCTS_Knowledge,18,3.4473877,False,False,True,False,True,False
258,2b767f12,MCTS_Knowledge,19,7.38510132,False,False,True,False,True,False
259,2b767f12,MCTS_Knowledge,20,7.34429932,False,False,True,False,True,False
260,2b767f12,MCTS_Knowledge,21,0.475921631,False,False,True,False,True,False
261,2b767f12,MCTS_Knowledge,22,3.8086853,False,False,True,False,True,False
262,2b767f12,MCTS_Knowledge,23,4.2979126,False,False,True,False,True,False
263,2b767f12,MCTS_Knowledge,24,9.507385,False,False,True,False,True,False
264,2b767f12,MCTS_Knowledge,25,5.77059937,False,False,True,False,True,False
265,2b767f12,MCTS_Knowledge,26,10.6762085,False,False,True,False,True,True
266,2b767f12,MCTS_Knowledge,27,15.5085144,False,False,True,False,True,True
267,2b767f12,MCTS_Knowledge,28,3.82055664,False,False,True,False,True,True
268,2b767f12,MCTS_Knowledge,29,5.366455,False,False,True,False,True,True
269,2b767f12,MCTS_Knowledge,30,1.96838379,False,False,True,False,True,True
270,2b767f12,MCTS_Knowledge,31,3.208496,False,False,True,False,True,True
271,2b767f12,MCTS_Knowledge,32,37.6428223,True,False,True,False,True,True
272,2b767f12,MCTS_Knowledge,33,35.2424927,True,False,True,False,True,True
273,2b767f12,MCTS_Knowledge,34,2.91949463,True,False,True,False,True,True
274,2b767f12,MCTS_Knowledge,35,22.8049316,True,False,True,False,True,True
275,2b767f12,MCTS_Knowledge,36,4.444641,True,False,True,False,True,True
276,2b767f12,MCTS_Knowledge,37,3.60009766,True,False,True,False,True,True
277,2b767f12,MCTS_Knowledge,38,1.39910889,True,False,True,False,True,True
278,2b767f12,MCTS_Knowledge,39,4.885742,True,False,True,False,True,True
279,2b767f12,MCTS_Knowledge,40,8.13031,True,False,True,False,True,True
280,2b767f12,MCTS_Knowledge,41,9.306702,True,False,True,False,True,True
281,2b767f12,MCTS_Knowledge,42,11.6251221,True,False,True,False,True,True
282,2b767f12,MCTS_Knowledge,43,9.553101,True,False,True,False,True,True
283,2b767f12,MCTS_Knowledge,44,13.2506714,True,False,True,False,True,True
284,2b767f12,MCTS_Knowledge,45,17.71051,True,False,True,False,True,True
285,2b767f12,MCTS_Knowledge,46,24.1297,True,False,True,False,True,True
286,2b767f12,MCTS_Knowledge,47,2.81848145,True,False,True,False,True,True
287,2b767f12,MCTS_Knowledge,48,3.80145264,True,False,True,False,True,True
288,2b767f12,MCTS_Knowledge,49,0.160217285,True,False,True,False,True,True
289,2b767f12,MCTS_Knowledge,50,48.2839355,True,False,True,False,True,True
290,2b767f12,MCTS_Knowledge,51,9.925476,True,False,True,False,True,True
291,2b767f12,MCTS_Knowledge,52,8.749573,True,False,True,False,True,True
292,2b767f12,MCTS_Knowledge,53,9.2109375,True,False,True,False,True,True
293,2b767f12,MCTS_Knowledge,54,15.3551636,True,False,True,False,True,True
294,2b767f12,MCTS_Knowledge,55,6.526123,True,False,True,False,True,True
295,2b767f12,MCTS_Knowledge,56,8.395325,True,False,True,False,True,True
296,2b767f12,MCTS_Knowledge,57,6.935974,True,False,True,False,True,True
297,2b767f12,MCTS_Knowledge,58,12.58783,True,False,True,False,True,True
298,2b767f12,MCTS_Knowledge,59,7.93817139,True,False,True,False,True,True
299,2b767f12,MCTS_Knowledge,60,6.16381836,True,False,True,False,True,True
300,32e399ef,MCTS_Knowledge,1,4.994301,False,False,False,False,False,False
301,32e399ef,MCTS_Knowledge,2,9.526001,False,False,False,False,False,False
302,32e399ef,MCTS_Knowledge,3,3.85919952,False,False,False,False,False,False
303,32e399ef,MCTS_Knowledge,4,2.96640015,False,False,False,False,False,False
304,32e399ef,MCTS_Knowledge,5,7.90809631,False,False,False,False,False,False
305,32e399ef,MCTS_Knowledge,6,8.982506,False,False,False,False,False,False
306,32e399ef,MCTS_Knowledge,7,10.4098053,False,False,False,False,False,False
307,32e399ef,MCTS_Knowledge,8,0.317993164,False,False,False,False,False,False
308,32e399ef,MCTS_Knowledge,9,3.90380859,False,False,False,False,False,False
309,32e399ef,MCTS_Knowledge,10,13.0289917,False,False,False,False,False,False
310,32e399ef,MCTS_Knowledge,11,2.09889221,False,False,False,False,False,False
311,32e399ef,MCTS_Knowledge,12,3.2795105,False,False,False,False,False,False
312,32e399ef,MCTS_Knowledge,13,4.27090454,False,False,False,False,False,False
313,32e399ef,MCTS_Knowledge,14,7.048691,False,False,False,False,False,False
314,32e399ef,MCTS_Knowledge,15,44.5349121,False,False,False,False,False,False
315,32e399ef,MCTS_Knowledge,16,3.86239624,False,False,False,False,False,False
316,32e399ef,MCTS_Knowledge,17,5.74578857,False,False,False,False,False,True
317,32e399ef,MCTS_Knowledge,18,4.25048828,False,False,False,False,False,True
318,32e399ef,MCTS_Knowledge,19,5.67349243,False,False,False,False,False,True
319,32e399ef,MCTS_Knowledge,20,3.19580078,False,False,False,False,False,True
320,32e399ef,MCTS_Knowledge,21,4.080017,False,False,False,False,False,True
321,32e399ef,MCTS_Knowledge,22,9.728088,False,False,False,False,False,True
322,32e399ef,MCTS_Knowledge,23,3.42068481,False,False,False,False,False,True
323,32e399ef,MCTS_Knowledge,24,2.513794,False,False,False,False,False,True
324,32e399ef,MCTS_Knowledge,25,6.46698,False,False,False,False,False,True
325,32e399ef,MCTS_Knowledge,26,2.37191772,False,False,False,False,False,True
326,32e399ef,MCTS_Knowledge,27,0.16708374,False,False,False,False,True,True
327,32e399ef,MCTS_Knowledge,28,8.718201,False,False,False,False,True,True
328,32e399ef,MCTS_Knowledge,29,4.494293,False,False,False,False,True,True
329,32e399ef,MCTS_Knowledge,30,9.594421,False,False,False,False,True,True
330,32e399ef,MCTS_Knowledge,31,3.66430664,False,False,False,False,True,True
331,32e399ef,MCTS_Knowledge,32,6.258789,False,False,False,False,True,True
332,32e399ef,MCTS_Knowledge,33,6.25048828,False,False,False,False,True,True
333,32e399ef,MCTS_Knowledge,34,4.188507,False,False,False,False,True,True
334,32e399ef,MCTS_Knowledge,35,5.178009,False,False,False,False,True,True
335,32e399ef,MCTS_Knowledge,36,4.095215,False,False,False,False,True,True
336,32e399ef,MCTS_Knowledge,37,4.85580444,False,False,False,False,True,True
337,32e399ef,MCTS_Knowledge,38,0.4734192,False,False,True,False,True,True
338,32e399ef,MCTS_Knowledge,39,5.079895,False,False,True,False,True,True
339,32e399ef,MCTS_Knowledge,40,3.80719,False,False,True,False,True,True
340,32e399ef,MCTS_Knowledge,41,6.85888672,True,False,True,False,True,True
341,32e399ef,MCTS_Knowledge,42,5.807312,True,False,True,False,True,True
342,32e399ef,MCTS_Knowledge,43,3.44769287,True,False,True,False,True,True
343,32e399ef,MCTS_Knowledge,44,5.89450073,True,False,True,False,True,True
344,32e399ef,MCTS_Knowledge,45,5.75180054,True,False,True,False,True,True
345,32e399ef,MCTS_Knowledge,46,5.1368103,True,False,True,False,True,True
346,32e399ef,MCTS_Knowledge,47,15.8884277,True,False,True,False,True,True
347,32e399ef,MCTS_Knowledge,48,9.878784,True,False,True,False,True,True
348,32e399ef,MCTS_Knowledge,49,3.91040039,True,False,True,False,True,True
349,32e399ef,MCTS_Knowledge,50,3.34078979,True,False,True,False,True,True
350,32e399ef,MCTS_Knowledge,51,0.3607788,True,False,True,False,True,True
351,32e399ef,MCTS_Knowledge,52,11.3759155,True,False,True,False,True,True
