,EpisodeCount,StepCount,Time,InstanceUUID,SettleCount,ChangedCount,MeanComparisonCount,StdComparisonCount,ReachedKnowledgeStep,Q1ReachedKnowledgeStep,Q2ReachedKnowledgeStep,Q3ReachedKnowledgeStep,Matched_HorizontalPiece,Matched_VerticalPiece,Matched_CrossPiece,Matched_RocketPiece,Matched_BombPiece,Matched_RainbowPiece,Target_HorizontalPiece,Target_VerticalPiece,Target_CrossPiece,Target_RocketPiece,Target_BombPiece,Target_RainbowPiece,method,player,simpleEffect,objective,simulation,almostRatio,playerDepth,Sum_Matched
7,8,200,2023-05-24 16:16:27.494,3f39c5ae,0,0,0.0,0.0,105,54,105,105,37,33,7,100,5,11,8,4,1,3,4,2,random,2,1,-,-,-,-,222
8,9,200,2023-05-24 16:16:35.859,3f39c5ae,0,0,0.0,0.0,93,51,51,51,51,50,10,122,4,19,8,4,1,3,4,2,random,2,1,-,-,-,-,306
9,10,200,2023-05-24 16:16:43.732,3f39c5ae,0,0,0.0,0.0,108,75,95,108,41,36,2,134,8,21,8,4,1,3,4,2,random,2,1,-,-,-,-,246
10,11,200,2023-05-24 16:16:52.096,3f39c5ae,0,0,0.0,0.0,110,110,110,110,44,32,3,82,8,6,8,4,1,3,4,2,random,2,1,-,-,-,-,264
11,12,200,2023-05-24 16:17:00.316,3f39c5ae,0,0,0.0,0.0,108,41,41,108,33,37,1,91,8,5,8,4,1,3,4,2,random,2,1,-,-,-,-,198
12,13,200,2023-05-24 16:17:08.479,3f39c5ae,0,0,0.0,0.0,143,30,105,138,53,25,21,154,10,17,8,4,1,3,4,2,random,2,1,-,-,-,-,318
13,14,200,2023-05-24 16:17:16.925,3f39c5ae,0,0,0.0,0.0,57,34,34,57,20,24,8,96,5,6,8,4,1,3,4,2,random,2,1,-,-,-,-,120
14,15,200,2023-05-24 16:17:25.331,3f39c5ae,0,0,0.0,0.0,71,56,56,71,41,31,3,116,17,15,8,4,1,3,4,2,random,2,1,-,-,-,-,246
15,16,200,2023-05-24 16:17:33.618,3f39c5ae,0,0,0.0,0.0,45,45,45,45,34,26,9,123,10,17,8,4,1,3,4,2,random,2,1,-,-,-,-,204
16,17,200,2023-05-24 16:17:43.556,3f39c5ae,0,0,0.0,0.0,150,51,51,70,46,37,15,160,9,14,8,4,1,3,4,2,random,2,1,-,-,-,-,276
17,18,200,2023-05-24 16:17:52.832,3f39c5ae,0,0,0.0,0.0,84,84,84,84,26,31,2,149,12,7,8,4,1,3,4,2,random,2,1,-,-,-,-,156
18,19,200,2023-05-24 16:18:03.137,3f39c5ae,0,0,0.0,0.0,-1,36,127,184,36,20,6,91,3,14,8,4,1,3,4,2,random,2,1,-,-,-,-,216
19,20,200,2023-05-24 16:18:13.953,3f39c5ae,0,0,0.0,0.0,174,147,147,147,50,31,2,111,7,11,8,4,1,3,4,2,random,2,1,-,-,-,-,300
20,21,200,2023-05-24 16:18:23.988,3f39c5ae,0,0,0.0,0.0,-1,94,-1,-1,38,34,7,151,1,17,8,4,1,3,4,2,random,2,1,-,-,-,-,228
21,22,200,2023-05-24 16:18:34.835,3f39c5ae,0,0,0.0,0.0,-1,43,78,-1,45,35,13,103,2,15,8,4,1,3,4,2,random,2,1,-,-,-,-,270
22,23,200,2023-05-24 16:18:44.786,3f39c5ae,0,0,0.0,0.0,122,110,117,122,29,36,11,79,5,18,8,4,1,3,4,2,random,2,1,-,-,-,-,174
23,24,200,2023-05-24 16:18:55.129,3f39c5ae,0,0,0.0,0.0,41,41,41,41,51,29,7,202,15,17,8,4,1,3,4,2,random,2,1,-,-,-,-,306
24,25,200,2023-05-24 16:19:06.695,3f39c5ae,0,0,0.0,0.0,71,48,48,62,30,42,9,120,12,6,8,4,1,3,4,2,random,2,1,-,-,-,-,180
25,26,200,2023-05-24 16:19:16.963,3f39c5ae,0,0,0.0,0.0,107,90,102,102,54,49,6,117,8,6,8,4,1,3,4,2,random,2,1,-,-,-,-,324
26,27,200,2023-05-24 16:19:29.367,3f39c5ae,0,0,0.0,0.0,109,91,91,109,33,25,5,106,6,10,8,4,1,3,4,2,random,2,1,-,-,-,-,198
0,380,1134,2023-05-24 16:16:03.419,2371230f,0,0,0.0,0.0,42,11,32,39,56,53,12,131,18,13,7,8,2,17,3,4,random,3,1,-,-,-,-,336
1,381,200,2023-05-24 16:16:30.043,2371230f,0,0,0.0,0.0,-1,93,135,-1,54,23,7,132,2,13,7,8,2,17,3,4,random,3,1,-,-,-,-,324
2,382,200,2023-05-24 16:16:53.847,2371230f,0,0,0.0,0.0,166,80,166,166,29,18,10,94,8,8,7,8,2,17,3,4,random,3,1,-,-,-,-,174
3,383,200,2023-05-24 16:17:17.907,2371230f,0,0,0.0,0.0,81,61,77,81,34,33,6,111,10,10,7,8,2,17,3,4,random,3,1,-,-,-,-,204
4,384,200,2023-05-24 16:17:43.055,2371230f,0,0,0.0,0.0,123,87,91,100,26,38,8,136,4,7,7,8,2,17,3,4,random,3,1,-,-,-,-,156
5,385,200,2023-05-24 16:18:09.724,2371230f,0,0,0.0,0.0,-1,193,193,-1,37,26,1,99,8,7,7,8,2,17,3,4,random,3,1,-,-,-,-,222
6,386,200,2023-05-24 16:18:32.968,2371230f,0,0,0.0,0.0,123,48,88,123,27,23,10,70,10,6,7,8,2,17,3,4,random,3,1,-,-,-,-,162
7,387,200,2023-05-24 16:18:57.395,2371230f,0,0,0.0,0.0,179,108,139,179,65,27,8,99,3,6,7,8,2,17,3,4,random,3,1,-,-,-,-,390
0,1,200,2023-05-24 16:15:23.190,523edf95,0,0,0.0,0.0,66,28,28,66,55,50,15,114,6,20,7,8,2,17,3,4,random,3,1,-,-,-,-,330
1,2,200,2023-05-24 16:15:31.676,523edf95,0,0,0.0,0.0,72,34,63,65,37,28,11,105,15,4,7,8,2,17,3,4,random,3,1,-,-,-,-,222
